|2017|
| 6. September 2017|<a href="/Treffen/Termine/09_2017/">Septembertreffen 2017</a>|
| 2. August 2017|<a href="/Treffen/Termine/08_2017/">Augusttreffen 2017</a>|Vortrag: GIMP - Grundlagen (Michael Roppel)|
| 5. Juli 2017|<a href="/Treffen/Termine/07_2017/">Julitreffen 2017</a>|
| 7. Juni 2017|<a href="/Treffen/Termine/06_2017/">Junitreffen 2017</a>|Vorträge: Lockpicking (Martin Röcker) und Chaostheorie (Michael Hartmann)|
| 3. Mai 2017|<a href="/Treffen/Termine/05_2017/">Maitreffen 2017</a>|
| 5. April 2017|<a href="/Treffen/Termine/04_2017/">Apriltreffen 2017</a>|Vortrag: SQL-Datenbanken und LibreOffice (Michael Roppel)|
| 1. März 2017|<a href="/Treffen/Termine/03_2017/">Märztreffen 2017</a>|
| 1. Februar 2017|<a href="/Treffen/Termine/02_2017/">Februartreffen 2017</a>|
| 4. Januar 2017| <a href="/Treffen/Termine/01_2017/">Januartreffen 2017</a> |Vortrag: Crashkurs Orbitalmechanik und das natürliche interplanetare Transportnetzwerk|
|2016|
| 7. Dezember 2016 | <a href="/Treffen/Termine/12_2016/">Dezembertreffen 2016</a> | Nikolausfeier |
| 2. November 2016 | <a href="/Treffen/Termine/11_2016/">Novembertreffen 2016</a> | 
| 5. Oktober 2016|<a href="/Treffen/Termine/10_2016/">Oktobertreffen 2016</a>|Vortrag: Die Cosmic-Call-Botschaft (Ingo Blechschmidt)|
| 7. September 2016|<a href="/Treffen/Termine/09_2016/">Septembertreffen 2016</a>|Vortrag: Das Halteproblem (Ingo Blechschmidt)|
| 3. August 2016 | <a href="/Treffen/Termine/08_2016/">Augusttreffen 2016</a> |
| 6. Juli 2016 | <a href="/Treffen/Termine/07_2016/">Julitreffen 2016</a> | Vorstellung: Manjaro Linux (Michael Roppel)|
| 1. Juni 2016 | <a href="/Treffen/Termine/06_2016/">Junitreffen 2016</a> |
| 5. Mai 2016|<a href="/Treffen/Termine/05_2016/">Maitreffen 2016</a>|
| 6. April 2016|<a href="/Treffen/Termine/04_2016/">Apriltreffen 2016</a>|Vortrag: Neue Website der LUGA (Michael Roppel)|
| 4. März 2016|<a href="/Treffen/Termine/03_2016/">Märztreffen 2016</a>|
| 4. Februar 2016|<a href="/Treffen/Termine/02_2016/">Februartreffen 2016</a>|
| 1. Januar 2016| <a href="/Treffen/Termine/01_2016/">Januartreffen 2016</a> |
|2015|
| 2. Dezember 2015 | <a href="/Treffen/Termine/12_2015/">Dezembertreffen 2015</a> |
| 4. November 2015 | <a href="/Treffen/Termine/11_2015/">Novembertreffen 2015</a> | Vortrag: Zero-Knowledge-Beweise (Ingo Blechschmidt) |
| 7. Oktober 2015|<a href="/Treffen/Termine/10_2015/">Oktobertreffen 2015</a>|Vortrag: <a href="/Angebote/Vortraege/UNIX_Dateirechte/">UNIX Dateirechte</a> (Michael Hartmann)|
| 2. September 2015|<a href="/Treffen/Termine/09_2015/">Septembertreffen 2015</a>|Vortrag: Neuronale Netze (Ingo Blechschmidt)|
| 5. August 2015|<a href="/Treffen/Termine/08_2015/">Augusttreffen 2015</a>|
| 1. Juli 2015|<a href="/Treffen/Termine/07_2015/">Julitreffen 2015</a>|
| 3. Juni 2015|<a href="/Treffen/Termine/06_2015/">Junitreffen 2015</a>|
| 6. Mai 2015|<a href="/Treffen/Termine/05_2015/">Maitreffen 2015</a>|
