#Register der Vorträge;
#Neueste Vorträge bitte oben einfügen;
#datum YYYY-MM-DD|Titel|Referent|Dateiname
2016-04-30|Blick hinter die Kulissen eines freien Buchs|Axel Beckert und Frank Hofmann|2016-04-30-Blick_freies_Buch
2016-04-30|Fernzugriff auf eigene Computer|Heinz-M. Graesing|2016-04-30-Fernzugriff_auf_eigene_Computer
2016-04-30|Lightning Talks|diverse Referenten|2016-04-30-Lightning_Talks
2016-04-30|Offene Hardware für offene Software (Gnublin2)|Benedikt „Hunz“ Heinz|2016-04-30-Offene_Hardware
2016-04-30|Physik der Klänge|Veronika Pörtge|2016-04-30-Physik_der_Klaenge
2016-04-30|Pythonskripte testen|Gert-Ludwig Ingold|2016-04-30-Pythonskripte_testen
2016-04-30|Schneller und sicherer surfen|Frank Hofmann|2016-04-30-Schnelles_sicheres_Surfen
2016-04-30|Sichere Backups|Richard Albrecht|2016-04-30-Sichere_Backups
2016-04-30|Surfen auf schwachen Computern|Axel Beckert|2016-04-30-Surfen_auf_schwachen_Computern
2016-04-30|Vim für Fortgeschrittene reloaded|Oliver Rath|2016-04-30-Vim_fuer_Fortgeschrittene
2016-04-30|Open-Source-ERP WaWision|Benedikt Sauter|2016-04-30-WaWision
2016-04-30|Welche Daten verschickt eigentlich mein Browser?|Ingo Blechschmidt|2016-04-30-Welche_Daten_verschickt_mein_Browser
2015-10-07|UNIX Dateirechte|Michael Hartmann|UNIX_Dateirechte
2015-03-28|Zentrale Konfigurationsverwaltung mit Puppet|Ulrich Habel|Puppet_LIT_2015
2015-03-28|YubiKey. Praktikable Zwei-Faktor-Authentifizierung für Linux und mobile Geräte|Frank Hofmann|YubiKey_LIT_2015
2015-03-28|X2GO in Theorie und Praxis|Richard Albrecht, Stefan Baur, Heinz Gräsing|X2GO_LIT_2015
2015-03-28|Wie betreibt man Debian 8 Jessie ohne systemd?|Axel Beckert|Debian_Jessie_ohne_systemd_LIT_2015
2015-03-28|TeXmacs, a free scientific word processor|Miguel de Benito Delgado|TeXmacs_LIT_2015
2015-03-28|Some Bashing - Kommandozeile für Einsteiger|Andreas Steil|Some_Bashing_LIT_2015
2015-03-28|Quo vadis, IT-Sicherheit? Nichts ist sicher...|Thomas Eisenbarth|Quo_Vadis_IT_Sicherheit_LIT_2015
2015-03-28|Open-Source-Kochen in München|Florian Effenberger|OS_Kochen_LIT_2015
2015-03-28|NixOS: The Purely Functional Linux Distribution|Cillian de Róiste, Aszlig Neusepoff|NixOS_LIT_2015
2015-03-28|Multicopter - nur Fliegen ist schöner|Tommy Sauer|Multicopter_LIT_2015
2015-03-28|Fotobearbeitung und -verwaltung mit Darktable|Michael Koreny|Darktable_LIT_2015
2015-03-28|Docker for Everyday|Gabriel Stein|Docker_LIT_2015
2015-03-28|DNSSEC|Christoph Egger|DNSSEC_LIT_2015
2015-03-28|Chaos macht Schule|Andreas Herz|Chaos_macht_Schule_LIT_2015
2015-03-28|Arbeiten mit dem IPython-Notebook|Gert Ingold|IPython_Notebook_LIT_2015
2015-03-28|Aktuelle Entwicklungen beim Linux-Kernel|Thorsten Leemhuis|Linux_Kernel_LIT_2015
2015-03-28|Aktuelle Entwicklungen bei LiMux|Christian Kalkhoff|LiMux_LIT_2015
2015-01-07|Dokumentverwaltung mit Git und GitHub|Ingo Bleschmidt|Git_GitHub
2014-07-14|Recovery - Datenwiederherstellung unter Linux |Michael Roppel|Linux_Recovery
2014-06-04|Backup mit rsync|Ingo Bleschmidt|Backup_mit_rsync
2014-03-22|Wireshark ohne Netzwerk|Martin Kaiser|Wireshark_LIT_2014
2014-03-22|Windows- und Linux-Passwörter zurücksetzen mit Minilinux zurücksetzen|Oliver Rath|Passwoerter_zuruecksetzen_LIT_2014
2014-03-22|The Document Foundation - ein Blick hinter die Kulissen|Florian Effenberger|TDF_LIT_2014
2014-03-22|Sichere und unabhängige Datenverwaltung mit ownCloud|Bernd Müller|ownCloud_II_LIT_2014
2014-03-22|Reprap-3D-Drucker - Open Hardware und Open Software in idealer Kombination|Stefan Krister|Reprap_LIT_2014
2014-03-22|Quo vadis, IT-Sicherheit?|Thomas Eisenbarth|IT_Sicherheit_LIT_2014
2014-03-22|OpenStack - automatisiertes Bereitstellen von Test-, Entwicklungs- & Produktivinstanzen in einer Private Cloud|Ralph Dehner|OpenStack_LIT_2014
2014-03-22|Open Source in Unternehmen|Ulrich Habel|Open_Source_im_Unternehmen_LIT_2014
2014-03-22|Mehrere Terminals in einem mit GNU Screen|Axel Beckert|GNU_Screen_LIT_2014
2014-03-22|Linux für alle oder doch nicht?|Richard Albrecht|Linux_fuer_alle_LIT_2014
2014-03-22|Kollaboration mit Etherpad|David Krcek|Etherpad_LIT_2014
2014-03-22|Geotagging. Fotos mit Geoinformationen verknüpfen|Frank Hofmann|Geotagging_LIT_2014
2013-03-23|Wissenschaftliches Rechnen mit Python|Hubert Högl|Wissenschaftliches_Rechnen_LIT_2013
2013-03-23|PostgreSQL - Neues und Besonderes der führenden Open-Source-Datenbank|Harald Armin Massa|PostgreSQL_LIT_2013
2013-03-23|Keynote Linux-Infotag 2013|Hans-Georg Eßer|Keynote_LIT_2013
2013-03-23|Freetz - der Router als eigener Homeserver|David Meier|Freetz_LIT_2013
2013-03-23|Ein Jahr embedded GNU/Linux mit GNUBLIN|Benedikt Sauter|Gnublin_LIT_2013
2013-03-23|Datenverschlüsselung für Einsteiger|Michael Koreny|Datenverschluesselung_LIT_2013
2013-03-23|Cloud Computing - Mythen, Fakten, Empfehlungen|Thomas Eisenbarth|Cloud_Computing_LIT_2013
2013-03-23|Betriebssystem-Entwicklung unter Linux|Hans-Georg Eßer|OS_Entwicklung_LIT_2013
2013-03-23|BIND 10, ein DNS- und DHCP-Server für die Zukunft|Carsten Strotmann|BIND_LIT_2013
2012-11-07|Embedded Linux am Beispiel des Gnublin-Boards|Michael Hartmann|Gnublin
2012-06-06|Operational Transformation - oder: Wie funktioniert Etherpad?|Tim Baumann|Operational_Transformation
2012-03-24|Workshop: Python mit Web2py und Python on Android |Nik Klever|web2py_Py4A_LIT_2012
2012-03-24|Verschlüsselte Kommunikation und Datensicherung|Andreas Herz|Verschluesselung_LIT_2012
2012-03-24|Tiling-Window-Manager i3: Effiziente Benutzeroberfläche für Power-User|Michael Stapelberg|i3_LIT_2012
2012-03-24|Sicherheit im Bereich der Gebäudeautomation|Steffen Wendzel|Gebaeudeautomation_LIT_2012
2012-03-24|Sicheres DNS mit Unbound und DNSSEC-Trigger|Carsten Strotmann|DNSSEC_LIT_2012
2012-03-24|RestrictedBoot, digitale Schulbücher, proprietäre Formate - Welche Hürden liegen vor uns und wie können wir sie erfolgreich meistern? |Björn Schießle|RestrictedBoot_LIT_2012
2012-03-24|Postscript- und PDF-Dokumente durchsuchen |Frank Hofmann und Thomas Winde|PS_PDF_durchsuchen_LIT_2012
2012-03-24|Netzwerksniffing mit Wireshark|Ingo Blechschmidt|Wireshark_LIT_2012
2012-03-24|Mit Sicherheit Linux|Richard Albrecht|Mit_Sicherheit_Linux_LIT_2012
2012-03-24|LibreOffice und The Document Foundation|Florian Effenberger|LibreOffice_u_TDF_LIT_2012
